,new_house_price,Is_samambaia_norte,n_rooms,has_condominium,value_condominium,has_parking,n_parking,house_size,house_hyperlink
129,280000.0,1,3,1,0.0,1,3,100.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-casa-samambaia-norte-com-3-quartos-1115855725
130,479000.0,1,3,1,0.0,1,2,230.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-a-venda-samambaia-norte-qr-410-esquina-1115850658
131,190000.0,1,3,1,0.0,1,1,144.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-para-venda-em-samambaia-samambaia-norte-3-dormitorios-1-suite-3-banheiros-1-vaga-1097030599
132,560000.0,1,5,1,0.0,1,3,150.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vende-ou-troca-casa-em-samambaia-por-casa-em-vicente-pires-1018967611
133,230000.0,1,2,1,0.0,1,1,126.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-em-samambaia-na-laje-e-aceita-financiamento-1089289086
134,200000.0,0,3,0,0.0,0,0,0.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-casa-samambaia-sul-1115518339
135,380000.0,0,2,1,515.0,1,1,101.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/cobertura-samambaia-proximo-a-estacao-de-metro-com-terraco-com-lazer-1062023684
136,210000.0,1,2,1,0.0,1,1,130.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-casa-em-samambaia-norte-1115386891
137,330000.0,1,5,1,0.0,1,3,154.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-para-venda-em-samambaia-samambaia-norte-5-dormitorios-2-banheiros-3-vagas-1097029251
138,159000.0,0,1,1,0.0,0,0,31.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/lancamento-samambaia-qd-302-smart-home-1-quarto-excelente-localizacao-1098559034
139,375000.0,1,3,1,0.0,1,3,115.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-para-venda-samambaia-norte-qr-406-3-quartos-1045309499
140,300000.0,1,2,1,0.0,1,2,135.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-para-venda-em-samambaia-samambaia-norte-2-dormitorios-1-suite-2-banheiros-2-vaga-1097032142
141,252000.0,0,2,1,0.0,1,1,49.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-em-samambaia-samambaia-sul-2-dormitorios-1-suite-2-banheiros-1-1097030574
142,295000.0,0,3,1,0.0,1,3,130.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/a-venda-linda-casa-em-samambaia-3-quartos-todos-os-comodos-amplos-1018984775
143,0.0,1,4,0,0.0,1,2,186.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-casa-samambaia-1092739942
144,200000.0,0,3,0,0.0,1,3,0.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-a-venda-samambaia-sul-501-barata-1114970224
145,200000.0,0,2,0,0.0,0,0,0.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-a-venda-samambaia-sul-1114885801
146,170000.0,1,3,1,300.0,1,2,150.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vende-se-agio-samambaia-norte-412-1089940476
147,235000.0,0,2,0,0.0,1,1,54.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/more-em-samambaia-1114775654
