,house_category,n_bathrooms,CEP,Logradouro
544,Casas,3,72327000,QR 425
545,Casas,1,72327006,QR 425 Conjunto 6
546,Apartamentos,1,72308006,QN 312 Conjunto 6
547,Apartamentos,1,72316100,QR 208
548,Casas,2,72302009,QR 104 Conjunto 8
549,Casas,1,72308603,QR 316 Conjunto 3
550,Apartamentos,2,72322570,QN 614
551,,,,
552,Casas,1,72307608,QR 315 Conjunto 8
553,Apartamentos,1,72321007,QR 407 Conjunto 7
554,Apartamentos,2,72301530,QS 109
555,Casas,1,72329000,QR 429
556,Apartamentos,1,72320100,QR 412
557,Casas,2,72319026,QR 401 Conjunto 26
558,Casas,1,72321002,QR 407 Conjunto 2
559,Casas,3,72301100,QR 105
560,Casas,4,72315201,QR 517 Conjunto 1
561,,,,
562,Casas,5 ou mais,72316002,QR 206 Conjunto 2
563,Casas,1,72316013,QR 206 Conjunto 13
564,Casas,2,72323113,QR 417 Conjunto 13
565,,,,
566,Casas,3,72341201,QR 205 Conjunto 1
567,Casas,2,72322211,QR 606 Conjunto 10
568,Casas,2,72322607,QR 612 Conjunto 7
569,Apartamentos,1,72315580,QS 519
570,Casas,1,72322312,QR 608 Conjunto 11
571,Apartamentos,2,72300531,Quadra 301 Conjunto 1
572,Casas,1,72312601,QR 510 Conjunto 1
573,Apartamentos,1,72316300,QR 212
574,Casas,1,72310400,QR 502
575,Apartamentos,2,72300531,Quadra 301 Conjunto 1
576,Casas,1,72343000,QR 211
577,Casas,2,72322302,QR 608 Conjunto 2
578,Casas,5 ou mais,72315100,QR 515
579,Casas,1,72325200,
580,Apartamentos,2,72320300,QI 416
581,Apartamentos,2,72320300,QI 416
582,Apartamentos,1,72327100,QR 427
583,Apartamentos,1,72309300,QR 321
584,Casas,4,72343000,QR 211
585,Casas,2,72341201,QR 205 Conjunto 1
586,Casas,1,72316200,QR 210
587,,,,
588,Apartamentos,1,72304116,QN 122 Conjunto 15
589,Apartamentos,2,72320300,QI 416
590,Casas,5 ou mais,72315100,QR 515
591,Casas,2,72316100,QR 208
592,Casas,2,72308600,QR 316
593,Casas,3,72310215,SMSE Conjunto 15
594,Casas,1,72307310,QR 313 Conjunto 10
595,Apartamentos,1,72310500,QS 320
596,Casas,2,72327000,QR 425
597,Apartamentos,1,72318571,QS 406 Conjunto A Comércio
598,Apartamentos,1,72321009,QR 407 Conjunto 9
599,Casas,4,72316002,QR 206 Conjunto 2
600,Apartamentos,1,72315510,QS 513
601,Casas,1,72316012,QR 206 Conjunto 12
602,Casas,2,72318002,QR 402 Conjunto 2
603,,,,
604,Apartamentos,1,72313004,QN 507 Conjunto 4
605,Apartamentos,1,72305600,QR 307
606,Apartamentos,1,72321007,QR 407 Conjunto 7
607,Casas,1,72338751,QR 833 Conjunto 1
608,,,,
609,Casas,2,72312100,QR 506
610,Apartamentos,1,72308105,QR 312 Conjunto 4-A
611,Apartamentos,2,72304508,QS 120 Conjunto 8
612,Casas,1,72308800,QR 318
613,Casas,4,72341100,QR 203
614,Casas,1,72339118,QR 827 Conjunto 3
615,Apartamentos,2,72320302,QI 416 Conjunto 2
616,Casas,2,72303200,QR 127
617,Casas,2,72303103,QR 125 Conjunto 3
618,Apartamentos,1,72316109,QR 208 Conjunto 8
619,Casas,3,72306605,QR 308 Conjunto 5
620,Apartamentos,1,72318545,QN 404 Conjunto E Comércio
621,Apartamentos,1,72318028,QR 402 Conjunto 27
622,Apartamentos,1,72310011,QN 320 Conjunto 11
623,Casas,4,72316012,QR 206 Conjunto 12
624,Casas,3,72316100,QR 208
625,Casas,2,72325001,QR 419 Conjunto 1
626,Casas,3,72331150,QR 603 Chácara 39 Condomínio Vida Nova
627,Apartamentos,2,72301562,QS 113 Conjunto B
